CENTURYLINK,NYSE,CTL,COMMON,TECHNOLOGY,TELECOM SERVICES - DOMESTIC
ENERGY TRANSFER EQUITY,NYSE,ETE,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
SENIOR HOUSING PROPERTIES TRUST,NASDAQ,SNH,REIT,HEALTH CARE,SENIOR HOUSING
TARGA RESOURCES,NYSE,TRGP,COMMON,BASIC MATERIALS,OIL & GAS PIPELINES
W.P. CAREY INC,NYSE,WPC,REIT,DIVERSIFIED,RETAIL/OFFICE/INDUSTRIAL
OMEGA HEALTHCARE INVESTORS,NYSE,OHI,REIT,HEALTH CARE,HEALTHCARE FACILITIES
TRANSMONTAIGNE PARTNERS L.P,NYSE,TLP,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
PITNEY BOWES INC,NYSE,PBI,COMMON,CONSUMER GOODS,BUSINESS EQUIPMENT
AT&T INC,NYSE,T,COMMON,TECHNOLOGY,TELECOM SERVICES - DOMESTIC
SUBURBAN PROPANE PARTNERS,NYSE,SPH,MLP,UTILITIES,GAS UTILITIES
HOLLY ENERGY PARTNERS,NYSE,HEP,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
GENESIS ENERGY,NYSE,GEL,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
AMERIGAS PARTNER,NYSE,APU,MLP,UTILITIES,GAS UTILITIES
SPECTRA ENERGY PARTNERS,NYSE,SEP,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
HCP,NYSE,HCP,REIT,HEALTH CARE,SENIOR HOUSING
NUSTAR ENERGY L.P,NYSE,NS,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
ALLIANCE RESOURCE PARTNERS,NASDAQ,ARLP,MLP,BASIC MATERIALS,INDUSTRIAL METALS & MINERALS
NUSTAR GROUP HOLDINGS,NYSE,NSH,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
